ParticipantID,StatementID,Rating,RatingType
3,98,4,Importance
3,99,3,Importance
3,100,4,Importance
3,1,3,Feasibility
3,2,3,Feasibility
3,3,3,Feasibility
3,4,4,Feasibility
3,5,3,Feasibility
3,6,3,Feasibility
3,7,3,Feasibility
3,8,4,Feasibility
3,9,3,Feasibility
3,10,2,Feasibility
3,11,4,Feasibility
3,12,2,Feasibility
3,13,4,Feasibility
3,14,3,Feasibility
3,15,3,Feasibility
3,16,4,Feasibility
3,17,3,Feasibility
3,18,4,Feasibility
3,19,3,Feasibility
3,20,2,Feasibility
3,21,3,Feasibility
3,22,3,Feasibility
3,23,4,Feasibility
3,24,4,Feasibility
3,25,4,Feasibility
3,26,1,Feasibility
3,27,4,Feasibility
3,28,3,Feasibility
3,29,2,Feasibility
3,30,4,Feasibility
3,31,3,Feasibility
3,32,2,Feasibility
3,33,3,Feasibility
3,34,3,Feasibility
3,35,3,Feasibility
3,36,3,Feasibility
3,37,5,Feasibility
3,38,4,Feasibility
3,39,3,Feasibility
3,40,3,Feasibility
3,41,3,Feasibility
3,42,4,Feasibility
3,43,3,Feasibility
3,44,4,Feasibility
3,45,3,Feasibility
3,46,1,Feasibility
3,47,3,Feasibility
3,48,3,Feasibility
3,49,3,Feasibility
3,50,5,Feasibility
3,51,4,Feasibility
3,52,3,Feasibility
3,53,4,Feasibility
3,54,3,Feasibility
3,55,4,Feasibility
3,56,3,Feasibility
3,57,3,Feasibility
3,58,3,Feasibility
3,59,4,Feasibility
3,60,3,Feasibility
3,61,1,Feasibility
3,62,3,Feasibility
3,63,3,Feasibility
3,64,4,Feasibility
3,65,3,Feasibility
3,66,3,Feasibility
3,67,3,Feasibility
3,68,4,Feasibility
3,69,5,Feasibility
3,70,4,Feasibility
3,71,3,Feasibility
3,72,3,Feasibility
3,73,3,Feasibility
3,74,3,Feasibility
3,75,3,Feasibility
3,76,4,Feasibility
3,77,2,Feasibility
3,78,4,Feasibility
3,79,4,Feasibility
3,80,3,Feasibility
3,81,3,Feasibility
3,82,3,Feasibility
3,83,2,Feasibility
3,84,4,Feasibility
3,85,3,Feasibility
3,86,3,Feasibility
3,87,2,Feasibility
3,88,4,Feasibility
3,89,4,Feasibility
3,90,3,Feasibility
3,91,4,Feasibility
3,92,3,Feasibility
3,93,3,Feasibility
3,94,3,Feasibility
3,95,3,Feasibility
3,96,3,Feasibility
3,97,3,Feasibility
3,98,4,Feasibility
3,99,3,Feasibility
3,100,5,Feasibility
4,1,4,Importance
4,2,2,Importance
4,3,5,Importance
4,4,4,Importance
4,5,5,Importance
4,6,4,Importance
4,7,3,Importance
4,8,5,Importance
4,9,5,Importance
4,10,2,Importance
4,11,5,Importance
4,12,2,Importance
4,13,4,Importance
4,14,4,Importance
4,15,5,Importance
4,16,5,Importance
4,17,2,Importance
4,18,4,Importance
4,19,3,Importance
4,20,2,Importance
4,21,4,Importance
4,22,3,Importance
4,23,5,Importance
4,24,5,Importance
4,25,2,Importance
4,26,1,Importance
4,27,4,Importance
4,28,1,Importance
4,29,2,Importance
4,30,5,Importance
4,31,2,Importance
4,32,3,Importance
4,33,3,Importance
4,34,2,Importance
4,35,4,Importance
4,36,1,Importance
4,37,2,Importance
4,38,3,Importance
4,39,5,Importance
4,40,1,Importance
