StatementID,mean_Importance,std_Importance,count_Importance,mean_Feasibility,std_Feasibility,count_Feasibility,Gap,Cluster
1,4.25,1.1381803659589922,12,3.4166666666666665,0.9962049198956219,12,0.8333333333333335,0
2,3.75,1.4847711791873701,12,3.25,1.2880570286640685,12,0.5,0
3,4.083333333333333,1.2401124093721456,12,3.1666666666666665,1.0298573010888745,12,0.9166666666666665,0
4,3.5833333333333335,1.0836246694508316,12,4.166666666666667,1.1146408580454255,12,-0.5833333333333335,1
5,3.3333333333333335,1.3026778945578592,12,2.727272727272727,0.9045340337332909,11,0.6060606060606064,0
6,3.1666666666666665,1.0298573010888745,12,3.1666666666666665,1.403458930534474,12,0.0,1
7,3.3333333333333335,1.2309149097933274,12,3.25,1.1381803659589922,12,0.08333333333333348,0
8,4.0,1.1281521496355325,12,3.3333333333333335,0.8876253645985945,12,0.6666666666666665,1
9,4.0,1.1281521496355325,12,3.5833333333333335,0.9962049198956218,12,0.4166666666666665,0
10,3.0833333333333335,1.2401124093721456,12,2.75,0.9653072991634227,12,0.3333333333333335,0
11,3.5833333333333335,1.1645001528813148,12,3.75,1.2880570286640687,12,-0.16666666666666652,1
12,3.3333333333333335,1.3026778945578592,12,3.3333333333333335,1.1547005383792515,12,0.0,0
13,3.0,1.1281521496355325,12,3.0,1.3483997249264843,12,0.0,0
14,3.3333333333333335,1.2309149097933272,12,2.8333333333333335,0.9374368665610922,12,0.5,0
15,3.4166666666666665,1.164500152881315,12,3.4166666666666665,0.9962049198956219,12,0.0,1
16,3.1666666666666665,1.2673044646258473,12,3.0,1.2060453783110543,12,0.16666666666666652,0
17,3.3333333333333335,1.2309149097933272,12,2.9166666666666665,1.3113721705515065,12,0.41666666666666696,1
18,3.75,1.0552897060221726,12,3.6666666666666665,1.0730867399773196,12,0.08333333333333348,1
19,3.5,1.0871146130092177,12,3.4166666666666665,0.9962049198956219,12,0.08333333333333348,0
20,3.1666666666666665,1.0298573010888745,12,2.75,1.1381803659589922,12,0.4166666666666665,0
21,2.8333333333333335,1.2673044646258473,12,3.5833333333333335,1.2401124093721454,12,-0.75,0
22,3.25,1.0552897060221726,12,3.5833333333333335,1.2401124093721454,12,-0.3333333333333335,1
23,3.75,1.1381803659589922,12,4.0,1.2060453783110545,12,-0.25,1
24,3.3333333333333335,1.2309149097933274,12,3.25,1.0552897060221726,12,0.08333333333333348,1
25,3.0,1.3483997249264843,12,3.0833333333333335,1.164500152881315,12,-0.08333333333333348,0
26,2.4166666666666665,1.378954368902449,12,2.25,0.9653072991634228,12,0.16666666666666652,0
27,3.25,1.2154310870109941,12,3.5454545454545454,1.0357254813546264,11,-0.2954545454545454,1
28,2.8333333333333335,1.2673044646258476,12,3.25,1.0552897060221726,12,-0.4166666666666665,0
29,2.9166666666666665,1.378954368902449,12,2.5833333333333335,0.9962049198956219,12,0.33333333333333304,0
30,3.8333333333333335,1.1146408580454255,12,3.6666666666666665,1.0730867399773196,12,0.16666666666666696,1
31,3.1666666666666665,1.1146408580454255,12,2.75,1.1381803659589922,12,0.4166666666666665,1
32,2.8333333333333335,1.1146408580454255,12,2.25,0.7537783614444091,12,0.5833333333333335,0
33,2.5833333333333335,1.4433756729740643,12,2.5,1.0,12,0.08333333333333348,0
34,2.9166666666666665,1.0836246694508318,12,3.5,1.3142574813455419,12,-0.5833333333333335,1
35,3.0,1.1281521496355325,12,3.090909090909091,0.8312094145936336,11,-0.09090909090909083,0
36,3.0833333333333335,1.4433756729740645,12,3.0833333333333335,1.0836246694508316,12,0.0,0
37,3.1666666666666665,1.1934162828797101,12,4.181818181818182,1.2504544628399563,11,-1.0151515151515151,0
38,3.75,1.1381803659589922,12,3.1666666666666665,1.0298573010888745,12,0.5833333333333335,0
39,3.8333333333333335,1.1934162828797101,12,3.5833333333333335,1.0836246694508316,12,0.25,0
40,3.4166666666666665,1.4433756729740645,12,3.0,0.9534625892455925,12,0.4166666666666665,0
41,3.0833333333333335,0.90033663737852,12,3.4166666666666665,1.0836246694508316,12,-0.33333333333333304,1
42,3.6666666666666665,1.0730867399773196,12,3.5833333333333335,1.1645001528813148,12,0.08333333333333304,1
43,3.5,1.087114613009218,12,3.6666666666666665,1.1547005383792515,12,-0.16666666666666652,0
44,3.5833333333333335,1.0836246694508318,12,3.75,0.9653072991634227,12,-0.16666666666666652,1
45,2.9166666666666665,1.3789543689024493,12,3.25,1.2154310870109941,12,-0.3333333333333335,0
46,3.5833333333333335,1.378954368902449,12,2.8333333333333335,1.403458930534474,12,0.75,0
47,2.5833333333333335,1.2401124093721456,12,2.5833333333333335,0.6685579234215214,12,0.0,0
48,3.0833333333333335,1.3789543689024493,12,2.8333333333333335,1.1934162828797101,12,0.25,0
49,3.3333333333333335,1.3026778945578592,12,2.75,1.1381803659589922,12,0.5833333333333335,0
