Cluster,mean_Importance_mean,mean_Importance_std,mean_Importance_count,mean_Feasibility_mean,mean_Feasibility_std,mean_Feasibility_count,Gap_mean,Gap_std
0,3.062,0.336,64,2.946,0.335,64,0.116,0.375
1,3.659,0.281,36,3.726,0.326,36,-0.067,0.486
