StatementID,Cluster,Subcluster,Importance_mean,Feasibility_mean
1.0,1.0,1.1,4.25,3.4166666666666665
2.0,1.0,1.3,3.75,3.25
3.0,1.0,1.2,4.083333333333333,3.1666666666666665
5.0,1.0,1.2,3.3333333333333335,2.727272727272727
7.0,1.0,1.2,3.3333333333333335,3.25
9.0,1.0,1.4,4.0,3.5833333333333335
10.0,1.0,1.2,3.0833333333333335,2.75
12.0,1.0,1.4,3.3333333333333335,3.3333333333333335
13.0,1.0,1.3,3.0,3.0
14.0,1.0,1.3,3.3333333333333335,2.8333333333333335
16.0,1.0,1.1,3.1666666666666665,3.0
19.0,1.0,1.1,3.5,3.4166666666666665
20.0,1.0,1.2,3.1666666666666665,2.75
21.0,1.0,1.1,2.8333333333333335,3.5833333333333335
25.0,1.0,1.4,3.0,3.0833333333333335
26.0,1.0,1.3,2.4166666666666665,2.25
28.0,1.0,1.2,2.8333333333333335,3.25
29.0,1.0,1.1,2.9166666666666665,2.5833333333333335
32.0,1.0,1.1,2.8333333333333335,2.25
33.0,1.0,1.2,2.5833333333333335,2.5
35.0,1.0,1.2,3.0,3.090909090909091
36.0,1.0,1.3,3.0833333333333335,3.0833333333333335
37.0,1.0,1.1,3.1666666666666665,4.181818181818182
38.0,1.0,1.1,3.75,3.1666666666666665
39.0,1.0,1.1,3.8333333333333335,3.5833333333333335
40.0,1.0,1.3,3.4166666666666665,3.0
43.0,1.0,1.1,3.5,3.6666666666666665
45.0,1.0,1.1,2.9166666666666665,3.25
46.0,1.0,1.4,3.5833333333333335,2.8333333333333335
47.0,1.0,1.2,2.5833333333333335,2.5833333333333335
48.0,1.0,1.4,3.0833333333333335,2.8333333333333335
49.0,1.0,1.2,3.3333333333333335,2.75
52.0,1.0,1.2,2.75,2.6666666666666665
54.0,1.0,1.3,3.1666666666666665,3.0
55.0,1.0,1.2,3.1666666666666665,2.8333333333333335
56.0,1.0,1.4,3.1666666666666665,3.25
60.0,1.0,1.2,3.0833333333333335,2.9166666666666665
61.0,1.0,1.3,2.1666666666666665,2.5833333333333335
63.0,1.0,1.2,3.4166666666666665,2.5
65.0,1.0,1.2,2.9166666666666665,2.9166666666666665
66.0,1.0,1.3,3.25,3.1666666666666665
67.0,1.0,1.2,3.0833333333333335,2.5
68.0,1.0,1.1,3.1666666666666665,4.083333333333333
71.0,1.0,1.2,2.6666666666666665,2.75
73.0,1.0,1.4,3.5,3.4166666666666665
74.0,1.0,1.3,2.8333333333333335,3.4166666666666665
75.0,1.0,1.3,3.3333333333333335,2.8333333333333335
77.0,1.0,1.2,2.3333333333333335,2.5
78.0,1.0,1.3,2.75,2.5
81.0,1.0,1.3,3.0833333333333335,2.75
82.0,1.0,1.2,3.3333333333333335,3.0
83.0,1.0,1.2,2.75,2.4166666666666665
85.0,1.0,1.4,3.5,3.1666666666666665
86.0,1.0,1.3,3.1666666666666665,3.25
87.0,1.0,1.2,2.1666666666666665,3.0833333333333335
88.0,1.0,1.1,3.4166666666666665,3.3333333333333335
91.0,1.0,1.3,2.9166666666666665,2.4166666666666665
93.0,1.0,1.2,3.0,2.9166666666666665
94.0,1.0,1.4,3.9166666666666665,2.9166666666666665
95.0,1.0,1.3,2.8333333333333335,2.9166666666666665
96.0,1.0,1.3,3.0,2.8333333333333335
99.0,1.0,1.3,2.75,2.4166666666666665
4.0,2.0,2.2,3.5833333333333335,4.166666666666667
6.0,2.0,2.1,3.1666666666666665,3.1666666666666665
8.0,2.0,2.3,4.0,3.3333333333333335
11.0,2.0,2.1,3.5833333333333335,3.75
15.0,2.0,2.1,3.4166666666666665,3.4166666666666665
17.0,2.0,2.3,3.3333333333333335,2.9166666666666665
18.0,2.0,2.2,3.75,3.6666666666666665
22.0,2.0,2.4,3.25,3.5833333333333335
23.0,2.0,2.2,3.75,4.0
24.0,2.0,2.1,3.3333333333333335,3.25
27.0,2.0,2.1,3.25,3.5454545454545454
30.0,2.0,2.2,3.8333333333333335,3.6666666666666665
31.0,2.0,2.2,3.1666666666666665,2.75
34.0,2.0,2.1,2.9166666666666665,3.5
41.0,2.0,2.1,3.0833333333333335,3.4166666666666665
42.0,2.0,2.1,3.6666666666666665,3.5833333333333335
44.0,2.0,2.1,3.5833333333333335,3.75
50.0,2.0,2.4,3.6666666666666665,4.333333333333333
51.0,2.0,2.1,3.25,4.166666666666667
53.0,2.0,2.3,3.5833333333333335,3.75
57.0,2.0,2.2,3.4166666666666665,4.25
58.0,2.0,2.1,3.5833333333333335,3.5
59.0,2.0,2.2,3.9166666666666665,3.5833333333333335
62.0,2.0,2.1,2.9166666666666665,3.5833333333333335
64.0,2.0,2.3,3.5833333333333335,3.3333333333333335
69.0,2.0,2.3,3.9166666666666665,4.166666666666667
70.0,2.0,2.2,3.4166666666666665,3.6666666666666665
72.0,2.0,2.2,3.5,3.8333333333333335
76.0,2.0,2.2,3.6666666666666665,3.6666666666666665
79.0,2.0,2.2,3.5833333333333335,3.25
80.0,2.0,2.2,3.5,3.5833333333333335
84.0,2.0,2.2,3.727272727272727,4.083333333333333
89.0,2.0,2.2,4.166666666666667,4.0
90.0,2.0,2.3,3.0833333333333335,3.4166666666666665
92.0,2.0,2.4,3.1666666666666665,2.8333333333333335
97.0,2.0,2.1,3.0,3.3333333333333335
98.0,2.0,2.2,3.8333333333333335,3.5833333333333335
100.0,2.0,2.2,4.0,4.083333333333333
