StatementID,StatementText,Importance_Mean,Importance_Std,Importance_Count,Feasibility_Mean,Feasibility_Std,Feasibility_Count,Gap
1,Q1_1,4.25,1.1381803659589922,12,3.4166666666666665,0.9962049198956219,12,0.8333333333333335
2,Q1_2,3.75,1.4847711791873701,12,3.25,1.2880570286640685,12,0.5
3,Q1_3,4.083333333333333,1.2401124093721456,12,3.1666666666666665,1.0298573010888745,12,0.9166666666666665
4,Q1_4,3.5833333333333335,1.0836246694508316,12,4.166666666666667,1.1146408580454255,12,-0.5833333333333335
5,Q1_5,3.3333333333333335,1.3026778945578592,12,2.727272727272727,0.9045340337332909,11,0.6060606060606064
6,Q1_6,3.1666666666666665,1.0298573010888745,12,3.1666666666666665,1.403458930534474,12,0.0
7,Q1_7,3.3333333333333335,1.2309149097933274,12,3.25,1.1381803659589922,12,0.08333333333333348
8,Q1_8,4.0,1.1281521496355325,12,3.3333333333333335,0.8876253645985945,12,0.6666666666666665
9,Q1_9,4.0,1.1281521496355325,12,3.5833333333333335,0.9962049198956218,12,0.4166666666666665
10,Q1_10,3.0833333333333335,1.2401124093721456,12,2.75,0.9653072991634227,12,0.3333333333333335
11,Q1_11,3.5833333333333335,1.1645001528813148,12,3.75,1.2880570286640687,12,-0.16666666666666652
12,Q1_12,3.3333333333333335,1.3026778945578592,12,3.3333333333333335,1.1547005383792515,12,0.0
13,Q1_13,3.0,1.1281521496355325,12,3.0,1.3483997249264843,12,0.0
14,Q1_14,3.3333333333333335,1.2309149097933272,12,2.8333333333333335,0.9374368665610922,12,0.5
15,Q1_15,3.4166666666666665,1.164500152881315,12,3.4166666666666665,0.9962049198956219,12,0.0
16,Q1_16,3.1666666666666665,1.2673044646258473,12,3.0,1.2060453783110543,12,0.16666666666666652
17,Q1_17,3.3333333333333335,1.2309149097933272,12,2.9166666666666665,1.3113721705515065,12,0.41666666666666696
18,Q1_18,3.75,1.0552897060221726,12,3.6666666666666665,1.0730867399773196,12,0.08333333333333348
19,Q1_19,3.5,1.0871146130092177,12,3.4166666666666665,0.9962049198956219,12,0.08333333333333348
20,Q1_20,3.1666666666666665,1.0298573010888745,12,2.75,1.1381803659589922,12,0.4166666666666665
21,Q1_21,2.8333333333333335,1.2673044646258473,12,3.5833333333333335,1.2401124093721454,12,-0.75
22,Q1_22,3.25,1.0552897060221726,12,3.5833333333333335,1.2401124093721454,12,-0.3333333333333335
23,Q1_23,3.75,1.1381803659589922,12,4.0,1.2060453783110545,12,-0.25
24,Q1_24,3.3333333333333335,1.2309149097933274,12,3.25,1.0552897060221726,12,0.08333333333333348
25,Q1_25,3.0,1.3483997249264843,12,3.0833333333333335,1.164500152881315,12,-0.08333333333333348
26,Q1_26,2.4166666666666665,1.378954368902449,12,2.25,0.9653072991634228,12,0.16666666666666652
27,Q1_27,3.25,1.2154310870109941,12,3.5454545454545454,1.0357254813546264,11,-0.2954545454545454
28,Q1_28,2.8333333333333335,1.2673044646258476,12,3.25,1.0552897060221726,12,-0.4166666666666665
29,Q1_29,2.9166666666666665,1.378954368902449,12,2.5833333333333335,0.9962049198956219,12,0.33333333333333304
30,Q1_30,3.8333333333333335,1.1146408580454255,12,3.6666666666666665,1.0730867399773196,12,0.16666666666666696
31,Q1_31,3.1666666666666665,1.1146408580454255,12,2.75,1.1381803659589922,12,0.4166666666666665
32,Q1_32,2.8333333333333335,1.1146408580454255,12,2.25,0.7537783614444091,12,0.5833333333333335
33,Q1_33,2.5833333333333335,1.4433756729740643,12,2.5,1.0,12,0.08333333333333348
34,Q1_34,2.9166666666666665,1.0836246694508318,12,3.5,1.3142574813455419,12,-0.5833333333333335
35,Q1_35,3.0,1.1281521496355325,12,3.090909090909091,0.8312094145936336,11,-0.09090909090909083
36,Q1_36,3.0833333333333335,1.4433756729740645,12,3.0833333333333335,1.0836246694508316,12,0.0
37,Q1_37,3.1666666666666665,1.1934162828797101,12,4.181818181818182,1.2504544628399563,11,-1.0151515151515151
38,Q1_38,3.75,1.1381803659589922,12,3.1666666666666665,1.0298573010888745,12,0.5833333333333335
39,Q1_39,3.8333333333333335,1.1934162828797101,12,3.5833333333333335,1.0836246694508316,12,0.25
40,Q1_40,3.4166666666666665,1.4433756729740645,12,3.0,0.9534625892455925,12,0.4166666666666665
41,Q1_41,3.0833333333333335,0.90033663737852,12,3.4166666666666665,1.0836246694508316,12,-0.33333333333333304
42,Q1_42,3.6666666666666665,1.0730867399773196,12,3.5833333333333335,1.1645001528813148,12,0.08333333333333304
43,Q1_43,3.5,1.087114613009218,12,3.6666666666666665,1.1547005383792515,12,-0.16666666666666652
44,Q1_44,3.5833333333333335,1.0836246694508318,12,3.75,0.9653072991634227,12,-0.16666666666666652
45,Q1_45,2.9166666666666665,1.3789543689024493,12,3.25,1.2154310870109941,12,-0.3333333333333335
46,Q1_46,3.5833333333333335,1.378954368902449,12,2.8333333333333335,1.403458930534474,12,0.75
47,Q1_47,2.5833333333333335,1.2401124093721456,12,2.5833333333333335,0.6685579234215214,12,0.0
48,Q1_48,3.0833333333333335,1.3789543689024493,12,2.8333333333333335,1.1934162828797101,12,0.25
49,Q1_49,3.3333333333333335,1.3026778945578592,12,2.75,1.1381803659589922,12,0.5833333333333335
50,Q1_50,3.6666666666666665,1.1547005383792515,12,4.333333333333333,1.1547005383792517,12,-0.6666666666666665
51,Q1_51,3.25,1.0552897060221726,12,4.166666666666667,1.1146408580454255,12,-0.916666666666667
52,Q1_52,2.75,1.2880570286640687,12,2.6666666666666665,0.7784989441615229,12,0.08333333333333348
